iter	F1	Logloss
0	0.0001233806292	0.6779609611
1	0	0.6637833852
2	0	0.6505395387
3	0	0.6381488869
4	0	0.6265592834
5	0	0.6157240122
6	0	0.6056278074
7	0	0.5961880525
8	0	0.5873652013
9	0	0.5791103388
10	0	0.5713823831
11	0	0.564177208
12	0	0.5574311134
13	0	0.5511295236
14	0	0.5452170088
15	0	0.5397267575
16	0	0.5345610589
17	0	0.5297490739
18	0	0.5252570642
19	0	0.5210375467
20	0	0.5170975227
21	0	0.5134356457
22	0	0.509980426
23	0	0.5067765842
24	0	0.5037513832
25	0	0.5009501384
26	0	0.4983184647
27	0	0.4958522098
28	0	0.4935376305
29	0	0.491366816
30	0	0.4893374495
31	0	0.4874261932
32	0	0.4856530764
33	0	0.4839762089
34	0	0.4824109818
35	0	0.4809433255
36	0	0.4795731444
37	0	0.4782852107
38	0	0.4770703504
39	0	0.4759564618
40	0	0.4748817242
41	0	0.4738867026
42	0	0.4729498099
43	0	0.4720695854
44	0	0.4712594732
45	0	0.4705061524
46	0	0.4697826186
47	0	0.4691199549
48	0	0.4684728977
49	0	0.4678781949
50	0	0.4673188658
51	0	0.4667843446
52	0	0.4662836364
53	0	0.465826293
54	0	0.4653744106
55	0	0.4649515057
56	0	0.464558807
57	0	0.464199555
58	0	0.4638505424
59	0	0.4635087076
60	0	0.4631967258
61	0	0.4628995162
62	0	0.4626326661
63	0	0.4623816686
64	0	0.4621416448
65	0	0.4619160189
66	0	0.4617043048
67	0	0.4615122545
68	0	0.461307981
69	0	0.4611137064
70	0	0.4609349706
71	0	0.4607628499
72	0	0.46060411
73	0	0.4604477793
74	0	0.4602960109
75	0	0.4601686173
76	0	0.4600388885
77	0	0.4599169457
78	0	0.4598027543
79	0	0.4596949745
80	0	0.4595706281
81	0	0.4594757792
82	0	0.4593690468
83	0	0.4592769548
84	0	0.4591716604
85	0	0.4590824424
86	0	0.4590112296
87	0	0.4589315417
88	0	0.4588611193
89	0	0.4587924437
90	0	0.4587219894
91	0	0.4586462174
92	0	0.4585840759
93	0	0.4585260257
94	0	0.458471263
95	0	0.4584068073
96	0	0.4583600256
97	0	0.4583320505
98	0	0.458277393
99	0	0.4582257371
100	0	0.4581847816
101	0	0.4581421553
102	0	0.4580844444
103	0	0.4580385244
104	0	0.4580018279
105	0	0.4579584149
106	0	0.4579133227
107	0	0.4578636362
108	0	0.4578060014
109	0	0.4577918449
110	0	0.4577578982
111	0	0.4577079677
112	0	0.4576567532
113	0	0.4576266489
114	0	0.4575913227
115	0	0.4575498302
116	0	0.4575153066
117	0	0.4574874125
118	0	0.4574577478
119	0	0.4574186859
120	0	0.4573790717
121	0	0.4573526103
122	0	0.4573179496
123	0	0.457274642
124	0	0.4572299283
125	0	0.4572033698
126	0	0.4571728808
127	0	0.4571518702
128	0	0.4571248729
129	0	0.4570780128
130	0	0.457034791
131	0	0.456994575
132	0	0.4569520668
133	0	0.4569200747
134	0	0.4568993371
135	0	0.4568642082
136	0	0.4568419701
137	0	0.4568393682
138	0	0.4568155953
139	0	0.4567809687
140	0	0.4567423065
141	0	0.4567045536
142	0	0.4566781493
143	0	0.4566385075
144	0	0.4566063343
145	0	0.4565747112
146	0	0.4565301728
147	0	0.4564967773
148	0	0.4564838951
149	0	0.456452912
150	0	0.45642869
151	0	0.4564022239
152	0	0.4563806116
153	0	0.4563616068
154	0	0.4563231592
155	0	0.4562942627
156	0	0.4562710076
157	0	0.4562589302
158	0	0.4562376686
159	0	0.4562001032
160	0	0.4561726987
161	0	0.4561462992
162	0	0.456110654
163	0	0.4560773685
164	0	0.4560535903
165	0	0.456023112
166	0	0.4559958419
167	0	0.4559628204
168	0	0.4559304803
169	0	0.4559032918
170	0	0.455884149
171	0	0.455842759
172	0	0.4558198126
173	0	0.4557902457
174	0	0.4557680277
175	0	0.4557298596
176	0	0.4556925321
177	0	0.4556727096
178	0	0.4556474255
179	0	0.4556073753
180	0	0.45559085
181	0	0.4555610953
182	0	0.45553368
183	0	0.4555028009
184	0	0.4554717365
185	0	0.4554432139
186	0	0.4554149998
187	0	0.4553935094
188	0	0.4553640437
189	0	0.4553375221
190	0	0.4553088358
191	0	0.4552926106
192	0	0.4552718006
193	0	0.4552332173
194	0	0.4552071235
195	0	0.4551819109
196	0	0.4551577036
197	0	0.4551214735
198	0	0.455100232
199	0	0.455060773
200	0	0.4550332993
201	0	0.4550142748
202	0	0.45498379
203	0	0.4549506082
204	0	0.4549120936
205	0	0.4548866777
206	0	0.4548600119
207	0	0.4548376909
208	0	0.4548075362
209	0	0.4547801799
210	0	0.4547616162
211	0	0.4547251592
212	0	0.4547115595
213	0	0.4546863902
214	0	0.4546649786
215	0	0.4546369698
216	0	0.4546139687
217	0	0.4545817477
218	0	0.4545572872
219	0	0.4545306914
220	0	0.4545182918
221	0	0.4544857801
222	0	0.4544572977
223	0	0.4544337104
224	0	0.4544020934
225	0	0.4543769125
226	0	0.4543322963
227	0	0.4543054074
228	0	0.4542773622
229	0	0.4542553744
230	0	0.4542287312
231	0	0.4542058446
232	0	0.4541854244
233	0	0.45415943
234	0	0.4541303695
235	0	0.4540930491
236	0	0.454068139
237	0	0.4540299897
238	0	0.4539918194
239	0	0.4539674431
240	0	0.4539398767
241	0	0.4539061601
242	0	0.4538805855
243	0	0.4538508045
244	0	0.4538294069
245	0	0.4538043745
246	0	0.4537738667
247	0	0.4537615403
248	0	0.4537373738
249	0	0.4537154824
250	0	0.4536792818
251	0	0.4536533672
252	0	0.4536224872
253	0	0.4536007085
254	0	0.4535805129
255	0	0.4535568344
256	0	0.4535301409
257	0	0.4535064217
258	0	0.4534833639
259	0	0.453455074
260	0	0.4534300053
261	0	0.4534060128
262	0	0.453377644
263	0	0.4533426997
264	0	0.453316999
265	0	0.4532873104
266	0	0.4532695359
267	0	0.4532377785
268	0	0.4532063295
269	0	0.4531891314
270	0	0.4531575543
271	0	0.4531356279
272	0	0.4531040059
273	0	0.4530787597
274	0	0.4530442633
275	0	0.4530079105
276	0	0.4529729287
277	0	0.4529408514
278	0	0.4529131011
279	0	0.4528939329
280	0	0.4528649055
281	0	0.4528430301
282	0	0.4528128701
283	0	0.4527966011
284	0	0.4527688752
285	0	0.4527383333
286	0	0.4527075268
287	0	0.4526797024
288	0	0.4526437026
289	0	0.4526274264
290	0	0.4526066427
291	0	0.4525844068
292	0	0.452547845
293	0	0.4525288667
294	0	0.4525137805
295	0	0.4524864076
296	0	0.4524504167
297	0	0.4524228564
298	0	0.4524029531
299	0	0.4523848123
300	0	0.4523621816
301	0	0.4523431018
302	0	0.4523209344
303	0	0.4523021926
304	0	0.4522634803
305	0	0.452222779
306	0	0.4521897439
307	0	0.4521662996
308	0	0.4521420281
309	0	0.4521227338
310	0	0.4520965565
311	0	0.4520796778
312	0	0.4520477179
313	0	0.4520247309
314	0	0.4520046039
315	0	0.4519878738
316	0	0.4519584549
317	0	0.4519309816
318	0	0.4518952011
319	0	0.4518681198
320	0	0.4518402483
321	0	0.4518127738
322	0	0.4517875594
323	0	0.4517641862
324	0	0.451737109
325	0	0.451711966
326	0	0.451687842
327	0	0.4516645443
328	0	0.4516262436
329	0	0.4516024455
330	0	0.4515721247
331	0	0.4515301581
332	0	0.4514893282
333	0	0.4514754601
334	0	0.4514541436
335	0	0.4514243272
336	0	0.4513994724
337	0	0.4513642179
338	0	0.4513468131
339	0	0.4513169717
340	0	0.4512906529
341	0	0.4512705382
342	0	0.4512516522
343	0	0.4512200203
344	0	0.4511789843
345	0	0.451150233
346	0	0.4511281482
347	0	0.4510978295
348	0	0.4510683823
349	0	0.4510418517
350	0	0.4510177891
351	0	0.4509998351
352	0	0.4509722456
353	0	0.4509416097
354	0	0.4509177176
355	0	0.4508848721
356	0	0.4508631955
357	0	0.4508337216
358	0	0.4507993832
359	0	0.4507694115
360	0	0.4507420928
361	0	0.4507269189
362	0	0.450697188
363	0	0.4506500793
364	0	0.4506266976
365	0	0.4506047154
366	0	0.4505648325
367	0	0.4505321706
368	0	0.4505104239
369	0	0.4504881608
370	0	0.4504674384
371	0	0.4504352173
372	0	0.4504146047
373	0	0.4503864044
374	0	0.4503559125
375	0	0.4503320066
376	0	0.4503039223
377	0	0.4502668705
378	0	0.450243995
379	0	0.4502269599
380	0	0.4502020771
381	0	0.4501711061
382	0	0.4501463372
383	0	0.45012201
384	0	0.4500920003
385	0	0.450056965
386	0	0.4500314696
387	0	0.4500042519
388	0	0.4499839995
389	0	0.4499516748
390	0	0.4499209884
391	0	0.4498921407
392	0	0.4498690574
393	0	0.4498365724
394	0	0.4498072212
395	0	0.4497647354
396	0	0.4497348797
397	0	0.4497176734
398	0	0.4496856682
399	0	0.4496630191
400	0	0.4496299385
401	0	0.4496014076
402	0	0.4495688741
403	0	0.4495437228
404	0	0.4495245597
405	0	0.449493564
406	0	0.4494632144
407	0	0.4494486256
408	0	0.4494199849
409	0	0.4493878417
410	0	0.4493590357
411	0	0.4493266948
412	0	0.4492962817
413	0	0.4492722611
414	0	0.4492427893
415	0	0.4492135378
416	0	0.4491819277
417	0	0.4491529372
418	0	0.4491268726
419	0	0.4490962036
420	0	0.4490683806
421	0	0.449044533
422	0	0.4490112176
423	0	0.4489855664
424	0	0.4489642351
425	0	0.4489382556
426	0	0.4489077598
427	0	0.4488845535
428	0	0.4488611807
429	0	0.448823323
430	0	0.4487882123
431	0	0.4487576855
432	0	0.4487133885
433	0	0.448687213
434	0	0.4486565703
435	0	0.4486266128
436	0	0.4486026722
437	0	0.4485767254
438	0	0.4485398561
439	0	0.4485161624
440	0	0.4484860476
441	0	0.4484507084
442	0	0.4484303173
443	0	0.4484010358
444	0	0.4483777668
445	0	0.4483622088
446	0	0.4483340103
447	0	0.4483088205
448	0	0.4482833104
449	0	0.4482519414
450	0	0.4482252202
451	0	0.4481982188
452	0	0.4481645979
453	0	0.4481384782
454	0	0.4481123555
455	0	0.4480805352
456	0	0.4480567202
457	0	0.4480346382
458	0	0.4480011584
459	0	0.4479660221
460	0	0.4479369326
461	0	0.4479102155
462	0	0.4478906117
463	0	0.4478525619
464	0	0.4478295547
465	0	0.447800255
466	0	0.4477671538
467	0	0.4477282584
468	0	0.4476930882
469	0	0.4476571827
470	0	0.4476199554
471	0	0.4475891529
472	0	0.4475636022
473	0	0.4475337912
474	0	0.4474994741
475	0	0.4474689414
476	0	0.4474368138
477	0	0.4474152256
478	0	0.4473833909
479	0	0.4473565018
480	0	0.4473281552
481	0	0.4472987412
482	0	0.4472727803
483	0	0.4472348205
484	0	0.4472056448
485	0	0.4471853045
486	0	0.447154749
487	0	0.4471238341
488	0	0.4470934069
489	0	0.4470593194
490	0	0.4470238772
491	0	0.4469883376
492	0	0.4469609465
493	0	0.4469337882
494	0	0.4469073646
495	0	0.4468796097
496	0	0.4468438129
497	0	0.4468127897
498	0	0.4467953092
499	0	0.44676511
500	0	0.4467307503
501	0	0.4466942682
502	0	0.4466625789
503	0	0.4466343226
504	0	0.4466056921
505	0	0.446564996
506	0	0.4465380044
507	0	0.4465056079
508	0	0.4464728597
509	0	0.4464404281
510	0	0.446412329
511	0	0.4463782547
512	0	0.4463430311
513	0	0.4463110886
514	0	0.4462784262
515	0	0.446247555
516	0	0.4462187446
517	0	0.4461952189
518	0	0.4461740203
519	0	0.44614471
520	0	0.4461142215
521	0	0.4460934959
522	0	0.4460680476
523	0	0.4460311663
524	0	0.4460086315
525	0	0.4459883249
526	0	0.445959439
527	0	0.4459285042
528	0	0.4458975908
529	0	0.4458766075
530	0	0.4458529121
531	0	0.4458378915
532	0	0.445807504
533	0	0.4457853578
534	0	0.4457489233
535	0	0.4457161846
536	0	0.4456929933
537	0	0.4456550807
538	0	0.4456229631
539	0	0.445594689
540	0	0.4455677475
541	0	0.4455435434
542	0	0.4455155066
543	0	0.4454936933
544	0	0.4454569095
545	0	0.4454192201
546	0	0.4453897058
547	0	0.4453664548
548	0	0.445336284
549	0	0.4453040823
550	0	0.4452710962
551	0	0.4452420397
552	0	0.4452097294
553	0	0.4451726441
554	0	0.4451399107
555	0	0.4451172552
556	0	0.4450763385
557	0	0.4450362908
558	0	0.4450117378
559	0	0.4449817934
560	0	0.4449591673
561	0	0.444930199
562	0	0.4449003023
563	0	0.4448637746
564	0	0.4448382774
565	0	0.444817877
566	0	0.4447829443
567	0	0.4447557229
568	0	0.4447298951
569	0	0.4446988195
570	0	0.4446722218
571	0	0.4446534969
572	0	0.4446177136
573	0	0.4445866986
574	0	0.444555937
575	0	0.4445175547
576	0	0.4444882867
577	0	0.4444446475
578	0	0.4444148759
579	0	0.444379551
580	0	0.4443490639
581	0	0.4443212661
582	0	0.4442807178
583	0	0.4442473221
584	0	0.4442161306
585	0	0.4441809019
586	0	0.4441489966
587	0	0.4441135171
588	0	0.4440882055
589	6.169412055e-05	0.444071704
590	6.169412055e-05	0.4440405988
591	6.169412055e-05	0.4440021868
592	6.169412055e-05	0.4439766947
593	6.169412055e-05	0.443949164
594	6.169412055e-05	0.4439181487
595	6.169412055e-05	0.4438823293
596	6.169412055e-05	0.4438485372
597	6.169412055e-05	0.443821612
598	6.169412055e-05	0.4437921155
599	6.169412055e-05	0.4437701418
